nor,timestamps,MJD_timestamps
0.530042024622491,-1316.161314,58816.607406651456
-0.6220714303618151,-1315.161314,58816.60741822553
-0.6742705295979006,-1314.161314,58816.60742979961
-0.5021983363770538,-1313.161314,58816.60744137368
-0.4453912609377667,-1312.161314,58816.607452947756
-0.5996847551208263,-1311.161314,58816.60746452183
-2.1148668417776784,-1310.161314,58816.6074760959
-0.5053169984055342,-1302.221038,58816.60756799724
0.056712632990150384,-1301.221038,58816.60757957132
0.14018969472204296,-1300.221038,58816.607591145395
1.0872433321881154,-1299.221038,58816.607602719465
0.34893035840445313,-1298.221038,58816.60761429354
0.6501876713591347,-1297.221038,58816.60762586762
-0.43567886372457443,-1296.221038,58816.60763744169
2.3161609821361924,-1295.221038,58816.607649015765
1.000722408426748,-1294.221038,58816.60766058984
1.3698651082041637,-1293.221038,58816.60767216391
